Plant_ID,Nameplate,Technology,Latitude,Longitude,State,Year
3,153.1,Coal,31.0069,-88.0103,AL,2001
7,69.0,Coal,34.0128,-85.9708,AL,2001
8,788.8,Coal,33.644344,-87.196486,AL,2001
10,299.2,Coal,32.6017,-87.7811,AL,2001
26,244.8,Coal,33.244211,-86.458056,AL,2001
47,200.0,Coal,34.7439,-87.8486,AL,2001
50,140.6,Coal,34.883022,-85.755253,AL,2001
51,720.7,Coal,32.030556,-93.56916700000001,LA,2001
56,66.0,Coal,31.488019,-87.910747,AL,2001
59,109.8,Coal,40.854765,-98.34822199999999,NE,2001
60,76.3,Coal,40.580872,-98.312437,NE,2001
79,5.0,Coal,64.84774300000001,-147.735063,AK,2001
87,257.0,Coal,35.4159,-108.08200000000001,NM,2001
108,348.6,Coal,37.9308,-100.9725,KS,2001
113,113.6,Coal,34.9394,-110.3033,AZ,2001
126,173.3,Coal,32.16,-110.9047,AZ,2001
127,720.0,Coal,34.0825,-99.1753,TX,2001
130,590.9,Coal,33.3692,-80.1119,SC,2001
136,714.6,Coal,29.733056,-81.632778,FL,2001
160,194.7,Coal,32.0603,-109.8931,AZ,2001
165,490.0,Coal,36.190278,-95.2894,OK,2001
207,679.0,Coal,30.4308,-81.5508,FL,2001
298,813.4,Coal,31.4219,-96.2525,TX,2001
384,660.0,Coal,41.494636,-88.123827,IL,2001
462,16.5,Coal,38.4344,-105.25,CO,2001
465,44.0,Coal,39.67,-105.0028,CO,2001
468,22.0,Coal,39.1166389,-108.35133940000001,CO,2001
469,100.0,Coal,39.807275,-104.964548,CO,2001
470,350.0,Coal,38.2081,-104.5747,CO,2001
477,166.2,Coal,40.0195,-105.20200000000001,CO,2001
492,50.0,Coal,38.824444,-104.833333,CO,2001
511,3.7,Coal,37.178979,-104.487492,CO,2001
525,190.0,Coal,40.4856,-107.185,CO,2001
527,79.3,Coal,38.2383,-108.5069,CO,2001
564,464.5,Coal,28.4822,-81.1678,FL,2001
568,399.5,Coal,41.1706,-73.1844,CT,2001
593,75.0,Coal,39.738859999999995,-75.50384,DE,2001
594,81.6,Coal,38.5857,-75.2341,DE,2001
602,685.0,Coal,39.18,-76.5389,MD,2001
628,739.2,Coal,28.9656,-82.6977,FL,2001
641,93.7,Coal,30.5661,-87.2244,FL,2001
642,49.0,Coal,30.6692,-84.8869,FL,2001
643,149.6,Coal,30.2686,-85.7003,FL,2001
645,445.5,Coal,27.7944,-82.4036,FL,2001
646,125.0,Coal,27.9065212,-82.4169721,FL,2001
663,250.7,Coal,29.7592,-82.3878,FL,2001
676,363.8,Coal,28.0801,-81.9229,FL,2001
699,40.2,Coal,32.9191266,-83.6998717,GA,2001
703,805.8,Coal,34.1256,-84.9222,GA,2001
708,125.0,Coal,34.2528,-85.3456,GA,2001
709,299.2,Coal,33.195,-83.2983,GA,2001
710,299.2,Coal,33.8239,-84.4758,GA,2001
727,27.5,Coal,31.444728,-84.13469599999999,GA,2001
728,122.5,Coal,33.4622,-84.8986,GA,2001
733,50.0,Coal,32.1486,-81.1458,GA,2001
753,12.5,Coal,31.844708,-83.94073399999999,GA,2001
856,136.0,Coal,40.5958,-89.6631,IL,2001
861,388.9,Coal,39.0586,-89.4031,IL,2001
862,85.7,Coal,37.6577,-89.511161,IL,2001
863,75.0,Coal,39.1287713,-87.66583259999999,IL,2001
864,57.5,Coal,39.821637700000004,-90.56806309999999,IL,2001
867,239.3,Coal,41.82848,-87.72291,IL,2001
874,360.4,Coal,41.4931,-88.1153,IL,2001
876,659.5,Coal,39.590556,-89.49638900000001,IL,2001
879,892.8,Coal,40.5408,-89.6786,IL,2001
883,121.0,Coal,42.3833,-87.8133,IL,2001
884,187.5,Coal,41.6334,-88.0629,IL,2001
886,374.0,Coal,41.8508,-87.6533,IL,2001
887,183.3,Coal,37.2094,-88.858889,IL,2001
889,623.1,Coal,38.205,-89.8544,IL,2001
891,488.0,Coal,40.2797,-90.08,IL,2001
892,75.0,Coal,41.3028,-89.315,IL,2001
897,75.0,Coal,40.1805105,-87.82803100000001,IL,2001
898,112.5,Coal,38.8639,-90.1347,IL,2001
963,90.2,Coal,39.754803,-89.602389,IL,2001
