Plant_ID,Nameplaete,Technology,Latitude,Longitude,State,Year
46,,Nuclear,34.7042,-87.1189,AL,2001
204,,Nuclear,40.1719,-88.8339,IL,2001
210,,Nuclear,38.239259999999994,-95.68978,KS,2001
360,,Nuclear,33.368794,-117.55491599999999,CA,2001
371,,Nuclear,46.4711,-119.3339,WA,2001
566,,Nuclear,41.3107,-72.1677,CT,2001
621,,Nuclear,25.4356,-80.3308,FL,2001
628,,Nuclear,28.9656,-82.6977,FL,2001
649,,Nuclear,33.1427,-81.7625,GA,2001
869,,Nuclear,41.39,-88.27,IL,2001
880,,Nuclear,41.726110999999996,-90.310278,IL,2001
1060,,Nuclear,42.1011,-91.7781,IA,2001
1590,,Nuclear,41.9438,-70.578,MA,2001
1715,,Nuclear,42.323,-86.3146,MI,2001
1729,,Nuclear,41.9631,-83.2581,MI,2001
1922,,Nuclear,45.3338,-93.8493,MN,2001
1925,,Nuclear,44.622,-92.6333,MN,2001
2289,,Nuclear,41.520522,-96.077511,NE,2001
2388,,Nuclear,39.8143,-74.2062,NJ,2001
2410,,Nuclear,39.4625,-75.5358,NJ,2001
2497,,Nuclear,41.270556,-73.9527,NY,2001
2589,,Nuclear,43.5211,-76.41,NY,2001
3166,,Nuclear,39.758936,-76.268742,PA,2001
3251,,Nuclear,34.4017,-80.1589,SC,2001
3265,,Nuclear,34.7939,-82.8986,SC,2001
3751,,Nuclear,42.7786,-72.5133,VT,2001
3806,,Nuclear,37.1661,-76.6986,VA,2001
4046,,Nuclear,44.2806,-87.5369,WI,2001
4270,,Nuclear,29.995267,-90.471581,LA,2001
6000,,Nuclear,41.975604,-86.565206,MI,2001
6001,,Nuclear,31.2231,-85.1116,AL,2001
6008,,Nuclear,33.3881,-112.8617,AZ,2001
6011,,Nuclear,38.4344,-76.4417,MD,2001
6014,,Nuclear,33.9597,-78.0114,NC,2001
6015,,Nuclear,35.6334,-78.9556,NC,2001
6020,,Nuclear,41.8006,-81.1439,OH,2001
6022,,Nuclear,41.2435,-88.2286,IL,2001
6023,,Nuclear,42.0742,-89.2819,IL,2001
6026,,Nuclear,41.245498,-88.669066,IL,2001
6036,,Nuclear,35.0514,-81.0694,SC,2001
6038,,Nuclear,35.4331,-80.9486,NC,2001
6040,,Nuclear,40.6219,-80.4336,PA,2001
6045,,Nuclear,27.348611,-80.24638900000001,FL,2001
6051,,Nuclear,31.9342,-82.3447,GA,2001
6072,,Nuclear,32.0081,-91.0478,MS,2001
6099,,Nuclear,35.211535999999995,-120.85554199999999,CA,2001
6103,,Nuclear,41.0919,-76.1462,PA,2001
6105,,Nuclear,40.224303000000006,-75.58744,PA,2001
6110,,Nuclear,43.521390000000004,-76.408394,NY,2001
6115,,Nuclear,42.899167,-70.848889,NH,2001
