Plant_ID,Nameplaete,Technology,Latitude,Longitude,State,Year
3,,Other,31.0069,-88.0103,AL,2001
26,,Other,33.244211,-86.458056,AL,2001
30,,Other,44.0525,-94.4153,MN,2001
63,,Other,58.3107,-134.4174,AK,2001
64,,Other,58.3536,-134.4953,AK,2001
66,,Other,59.4545,-135.3131,AK,2001
69,,Other,59.2358,-135.445,AK,2001
75,,Other,61.2221,-149.8661,AK,2001
85,,Other,55.3633,-131.6778,AK,2001
90,,Other,64.505924,-165.429384,AK,2001
91,,Other,56.811040000000006,-132.957091,AK,2001
92,,Other,60.1083,-149.4417,AK,2001
95,,Other,56.4522,-132.3683,AK,2001
96,,Other,61.1861,-151.0356,AK,2001
109,,Other,59.6708,-157.89,AK,2001
114,,Other,31.364122,-109.5538,AZ,2001
120,,Other,32.7214,-114.7106,AZ,2001
151,,Other,37.62936,-120.93139,CA,2001
160,,Other,32.0603,-109.8931,AZ,2001
164,,Other,24.705609699999997,-81.3758561,FL,2001
167,,Other,34.7535,-92.1987,AR,2001
172,,Other,35.6975,-90.0053,AR,2001
181,,Other,64.8377778,-147.7163888,AR,2001
192,,Other,36.0573444,-90.4803833,AR,2001
193,,Other,36.3858,-90.1867,AR,2001
247,,Other,37.7361219,-122.37636570000001,CA,2001
273,,Other,37.75677039999999,-122.3871858,CA,2001
286,,Other,38.777,-122.745,CA,2001
299,,Other,38.4889,-112.8533,UT,2001
300,,Other,32.7285483,-117.194138,CA,2001
307,,Other,32.6980513,-117.1988585,CA,2001
309,,Other,32.7321181,-117.24391200000001,CA,2001
312,,Other,39.548638000000004,-84.315872,OH,2001
329,,Other,34.8606,-116.8539,CA,2001
331,,Other,34.09118,-117.52663000000001,CA,2001
341,,Other,33.7641,-118.2248,CA,2001
345,,Other,34.2067,-119.2511,CA,2001
350,,Other,34.1292,-119.1689,CA,2001
375,,Other,34.1778465,-118.31673319999999,CA,2001
377,,Other,34.1556,-118.2782,CA,2001
383,,Other,32.9866133,-115.53495490000002,CA,2001
389,,Other,32.8022,-115.54,CA,2001
399,,Other,33.7856,-118.2644,CA,2001
406,,Other,63.3367,-142.9856,AK,2001
421,,Other,55.4764,-133.1483,AK,2001
460,,Other,38.2667,-104.6144,CO,2001
464,,Other,37.4594,-105.8947,CO,2001
469,,Other,39.807275,-104.964548,CO,2001
490,,Other,39.3078,-102.2614,CO,2001
491,,Other,37.755,-106.1092,CO,2001
496,,Other,38.7314,-108.0708,CO,2001
502,,Other,38.055,-102.2004,CO,2001
504,,Other,40.9681,-102.2492,CO,2001
506,,Other,37.9844,-103.5436,CO,2001
507,,Other,38.0597,-103.2206,CO,2001
508,,Other,38.0921,-102.6148,CO,2001
510,,Other,38.7903,-122.7559,CA,2001
511,,Other,37.178979,-104.487492,CO,2001
524,,Other,40.14,-102.7106,CO,2001
533,,Other,31.400254999999998,-86.476449,AL,2001
540,,Other,41.2925,-72.7942,CT,2001
542,,Other,41.0289,-73.5989,CT,2001
544,,Other,41.209796999999995,-73.108976,CT,2001
546,,Other,41.4281,-72.1019,CT,2001
548,,Other,41.072441999999995,-73.411001,CT,2001
550,,Other,48.620336,-118.11105900000001,WA,2001
557,,Other,41.555425,-72.041829,CT,2001
561,,Other,41.798943,-73.11626700000001,CT,2001
562,,Other,41.554944,-72.579075,CT,2001
563,,Other,41.7495,-72.6524,CT,2001
565,,Other,41.776109000000005,-73.120886,CT,2001
568,,Other,41.1706,-73.1844,CT,2001
581,,Other,41.526790000000005,-72.06493499999999,CT,2001
589,,Other,44.4917,-73.2081,VT,2001
591,,Other,39.7302,-75.5371,DE,2001
592,,Other,39.600408,-75.626811,DE,2001
593,,Other,39.738859999999995,-75.50384,DE,2001
594,,Other,38.5857,-75.2341,DE,2001
596,,Other,39.745414000000004,-75.555987,DE,2001
597,,Other,39.7283,-75.6289,DE,2001
599,,Other,39.176221999999996,-75.546628,DE,2001
600,,Other,38.771879600000005,-75.13684079999999,DE,2001
601,,Other,38.6489,-75.6164,DE,2001
603,,Other,38.8994,-76.9592,DC,2001
604,,Other,38.8678,-77.0117,DC,2001
607,,Other,48.4558,-122.4358,WA,2001
609,,Other,28.469417,-80.763657,FL,2001
612,,Other,26.6967,-81.7831,FL,2001
613,,Other,26.0686,-80.1984,FL,2001
617,,Other,26.0856,-80.1253,FL,2001
619,,Other,26.7792734,-80.0557171,FL,2001
620,,Other,28.8419,-81.3256,FL,2001
621,,Other,25.4356,-80.3308,FL,2001
624,,Other,27.579444,-81.492778,FL,2001
627,,Other,27.758056,-82.635278,FL,2001
629,,Other,28.869577000000003,-81.273957,FL,2001
634,,Other,27.859534999999997,-82.601759,FL,2001
637,,Other,28.541515000000004,-81.254067,FL,2001
638,,Other,30.376389,-83.18055600000001,FL,2001
643,,Other,30.2686,-85.7003,FL,2001
645,,Other,27.7944,-82.4036,FL,2001
646,,Other,27.9065212,-82.4169721,FL,2001
647,,Other,27.933633399999998,-82.43731640000001,FL,2001
658,,Other,27.4512175,-80.3235546,FL,2001
664,,Other,29.6461,-82.3208,FL,2001
666,,Other,30.364818,-81.625967,FL,2001
667,,Other,30.4172,-81.5525,FL,2001
668,,Other,30.3129674,-81.650663,FL,2001
672,,Other,28.289436,-81.40790799999999,FL,2001
673,,Other,26.612766999999998,-80.0677,FL,2001
675,,Other,28.0797,-81.9228,FL,2001
676,,Other,28.0801,-81.9229,FL,2001
679,,Other,29.0219,-80.9644,FL,2001
681,,Other,29.0219,-80.9644,FL,2001
696,,Other,24.710832999999997,-81.0927,FL,2001
698,,Other,40.0786,-93.635,MO,2001
699,,Other,32.9191266,-83.6998717,GA,2001
700,,Other,33.8219504,-84.4782677,GA,2001
703,,Other,34.1256,-84.9222,GA,2001
710,,Other,33.8239,-84.4758,GA,2001
715,,Other,31.213645,-81.546165,GA,2001
727,,Other,31.444728,-84.13469599999999,GA,2001
748,,Other,27.4439,-81.3633,FL,2001
764,,Other,21.3068,-157.8819,HI,2001
765,,Other,21.356395000000003,-158.128853,HI,2001
766,,Other,21.388997,-157.96151799999998,HI,2001
768,,Other,19.6306,-155.9817,HI,2001
769,,Other,19.7052,-155.0625,HI,2001
772,,Other,19.7041,-155.0607,HI,2001
789,,Other,60.555,-145.7531,AK,2001
792,,Other,21.105999999999998,-157.0647,HI,2001
817,,Other,45.183368,-113.88530700000001,ID,2001
863,,Other,39.1287713,-87.66583259999999,IL,2001
864,,Other,39.821637700000004,-90.56806309999999,IL,2001
865,,Other,41.470071999999995,-87.557284,IL,2001
870,,Other,41.793237299999994,-88.26420309999999,IL,2001
877,,Other,41.902285,-88.0445809,IL,2001
882,,Other,42.2358652,-89.0981812,IL,2001
883,,Other,42.3833,-87.8133,IL,2001
886,,Other,41.8508,-87.6533,IL,2001
891,,Other,40.2797,-90.08,IL,2001
897,,Other,40.1805105,-87.82803100000001,IL,2001
913,,Other,38.6642,-90.1764,IL,2001
934,,Other,38.607456,-89.524514,IL,2001
935,,Other,40.5483,-90.5408,IL,2001
936,,Other,38.6106,-89.3583,IL,2001
937,,Other,38.0967,-88.1631,IL,2001
940,,Other,38.3783,-88.3594,IL,2001
941,,Other,40.246109999999994,-88.638761,IL,2001
943,,Other,38.4278,-89.4317,IL,2001
944,,Other,41.451494,-90.148547,IL,2001
946,,Other,38.7333,-89.6875,IL,2001
948,,Other,38.0925,-88.5453,IL,2001
949,,Other,39.392138,-87.68513,IL,2001
950,,Other,38.48467539999999,-89.79818940000001,IL,2001
955,,Other,41.3237,-89.1123,IL,2001
958,,Other,40.312222,-89.1594,IL,2001
959,,Other,38.2064,-89.9931,IL,2001
960,,Other,41.9093,-89.0498,IL,2001
965,,Other,39.806868,-89.641653,IL,2001
969,,Other,39.596667,-88.611944,IL,2001
971,,Other,38.334786,-90.158939,IL,2001
972,,Other,42.115589,-87.731025,IL,2001
990,,Other,39.711319,-86.196867,IN,2001
991,,Other,39.485170000000004,-86.4183,IN,2001
994,,Other,38.5281,-87.2525,IN,2001
1001,,Other,39.9242,-87.4244,IN,2001
1002,,Other,39.6561,-85.1758,IN,2001
1004,,Other,38.805634999999995,-87.24788000000001,IN,2001
1006,,Other,40.7884,-85.8178,IN,2001
1010,,Other,39.53,-87.4247,IN,2001
1016,,Other,35.0986,-78.8294,NC,2001
1023,,Other,40.7381436,-85.16638940000001,IN,2001
1024,,Other,40.048889,-86.8992,IN,2001
1038,,Other,40.939528,-87.154472,IN,2001
1046,,Other,42.5031,-90.658611,IA,2001
1047,,Other,43.3359,-91.1675,IA,2001
1052,,Other,42.0450403,-93.5815068,IA,2001
1068,,Other,42.048,-92.863,IA,2001
1105,,Other,40.7478,-92.873056,IA,2001
1120,,Other,43.0733,-94.2392,IA,2001
1121,,Other,42.6733,-95.3039,IA,2001
1122,,Other,42.0258,-93.6089,IA,2001
1123,,Other,41.4444,-94.7689,IA,2001
1124,,Other,41.409,-95.0,IA,2001
1125,,Other,43.292628,-94.217075,IA,2001
1126,,Other,42.25,-90.4167,IA,2001
1127,,Other,40.7031,-92.4253,IA,2001
1128,,Other,41.7283405,-92.4451892,IA,2001
1129,,Other,42.2275,-91.113739,IA,2001
1132,,Other,42.2925,-91.5581,IA,2001
1134,,Other,40.974,-94.7669,IA,2001
1135,,Other,42.2525,-94.0581,IA,2001
1137,,Other,43.4028,-94.8433,IA,2001
1138,,Other,43.263234999999995,-93.63538299999999,IA,2001
1141,,Other,42.274514,-94.270195,IA,2001
1142,,Other,43.2397,-94.7498,IA,2001
1143,,Other,42.0296,-94.3699,IA,2001
1144,,Other,41.303889,-94.46055600000001,IA,2001
1145,,Other,42.363094,-92.772322,IA,2001
1146,,Other,41.644542,-95.315283,IA,2001
1149,,Other,42.4753,-91.887222,IA,2001
1150,,Other,41.359491,-93.56326800000001,IA,2001
1153,,Other,43.4301,-95.3153,IA,2001
1154,,Other,43.4172,-93.5322,IA,2001
1155,,Other,40.622,-93.9326,IA,2001
1156,,Other,42.3194,-92.1967,IA,2001
1157,,Other,42.8486,-94.8506,IA,2001
1158,,Other,40.88,-94.5589,IA,2001
1159,,Other,41.8873005,-95.23666,IA,2001
1160,,Other,41.9067,-95.0347,IA,2001
1162,,Other,42.035556,-90.665,IA,2001
