Plant_ID,Nameplaete,Technology,Latitude,Longitude,State,Year
116,,Solar,33.4225,-111.9122,AZ,2001
141,,Solar,33.5561,-112.2153,AZ,2001
529,,Solar,38.340015,-121.11386100000001,CA,2001
3548,,Solar,30.3033,-97.6128,TX,2001
7724,,Solar,30.588219199999997,-103.89469609999999,TX,2001
10437,,Solar,34.8621,-116.8281,CA,2001
10438,,Solar,34.8659,-116.8251,CA,2001
10439,,Solar,35.00694,-117.555768,CA,2001
10440,,Solar,35.012166,-117.555672,CA,2001
10441,,Solar,35.01948,-117.55553,CA,2001
10442,,Solar,35.020981,-117.566079,CA,2001
10443,,Solar,35.014835999999995,-117.565903,CA,2001
10444,,Solar,35.0308,-117.3563,CA,2001
10446,,Solar,35.033,-117.338,CA,2001
116,,Solar,33.4225,-111.9122,AZ,2002
141,,Solar,33.5561,-112.2153,AZ,2002
529,,Solar,38.340015,-121.11386100000001,CA,2002
3548,,Solar,30.3033,-97.6128,TX,2002
7724,,Solar,30.588219199999997,-103.89469609999999,TX,2002
10437,,Solar,34.8621,-116.8281,CA,2002
10438,,Solar,34.8659,-116.8251,CA,2002
10439,,Solar,35.00694,-117.555768,CA,2002
10440,,Solar,35.012166,-117.555672,CA,2002
10441,,Solar,35.01948,-117.55553,CA,2002
10442,,Solar,35.020981,-117.566079,CA,2002
10443,,Solar,35.014835999999995,-117.565903,CA,2002
10444,,Solar,35.0308,-117.3563,CA,2002
10446,,Solar,35.033,-117.338,CA,2002
116,,Solar,33.4225,-111.9122,AZ,2003
141,,Solar,33.5561,-112.2153,AZ,2003
10438,,Solar,34.8659,-116.8251,CA,2003
10437,,Solar,34.8621,-116.8281,CA,2003
10446,,Solar,35.033,-117.338,CA,2003
10444,,Solar,35.0308,-117.3563,CA,2003
10441,,Solar,35.01948,-117.55553,CA,2003
10440,,Solar,35.012166,-117.555672,CA,2003
10439,,Solar,35.00694,-117.555768,CA,2003
10443,,Solar,35.014835999999995,-117.565903,CA,2003
10442,,Solar,35.020981,-117.566079,CA,2003
3548,,Solar,30.3033,-97.6128,TX,2003
8223,,Solar,34.3186,-109.1639,AZ,2003
529,,Solar,38.340015,-121.11386100000001,CA,2003
56228,,Solar,34.6584,-112.4008,AZ,2003
116,,Solar,33.4225,-111.9122,AZ,2004
141,,Solar,33.5561,-112.2153,AZ,2004
529,,Solar,38.340015,-121.11386100000001,CA,2004
3548,,Solar,30.3033,-97.6128,TX,2004
8223,,Solar,34.3186,-109.1639,AZ,2004
10437,,Solar,34.8621,-116.8281,CA,2004
10438,,Solar,34.8659,-116.8251,CA,2004
10439,,Solar,35.00694,-117.555768,CA,2004
10440,,Solar,35.012166,-117.555672,CA,2004
10441,,Solar,35.01948,-117.55553,CA,2004
10442,,Solar,35.020981,-117.566079,CA,2004
10443,,Solar,35.014835999999995,-117.565903,CA,2004
10444,,Solar,35.0308,-117.3563,CA,2004
10446,,Solar,35.033,-117.338,CA,2004
56228,,Solar,34.6584,-112.4008,AZ,2004
116,,Solar,33.4225,-111.9122,AZ,2005
118,,Solar,32.5517,-111.3,AZ,2005
141,,Solar,33.5561,-112.2153,AZ,2005
529,,Solar,38.340015,-121.11386100000001,CA,2005
3548,,Solar,30.3033,-97.6128,TX,2005
8223,,Solar,34.3186,-109.1639,AZ,2005
10446,,Solar,35.033,-117.338,CA,2005
10444,,Solar,35.0308,-117.3563,CA,2005
10442,,Solar,35.020981,-117.566079,CA,2005
10441,,Solar,35.01948,-117.55553,CA,2005
10443,,Solar,35.014835999999995,-117.565903,CA,2005
10440,,Solar,35.012166,-117.555672,CA,2005
10439,,Solar,35.00694,-117.555768,CA,2005
10438,,Solar,34.8659,-116.8251,CA,2005
10437,,Solar,34.8621,-116.8281,CA,2005
56228,,Solar,34.6584,-112.4008,AZ,2005
116,,Solar,33.4225,-111.9122,AZ,2006
118,,Solar,32.5517,-111.3,AZ,2006
141,,Solar,33.5561,-112.2153,AZ,2006
529,,Solar,38.340015,-121.11386100000001,CA,2006
