Nameplate,Technology,Latitude,Longitude,State,Plant_ID,Year
53.9,Hydroelectric,33.458665,-87.35682299999999,AL,2,2018
153.1,Natural Gas,31.0069,-88.0103,AL,3,2018
403.7,Coal,31.0069,-88.0103,AL,3,2018
75.0,Hydroelectric,32.583889,-86.283056,AL,4,2018
69.0,Natural Gas,34.0128,-85.9708,AL,7,2018
788.8,Coal,33.644344,-87.196486,AL,8,2018
86.9,Natural Gas,31.7569,-106.375,TX,9,2018
299.2,Natural Gas,32.6017,-87.7811,AL,10,2018
24.3,Hydroelectric,33.7845,-86.0524,AL,11,2018
46.9,Hydroelectric,33.2553,-87.4495,AL,12,2018
25.0,Hydroelectric,32.6189,-86.2548,AL,13,2018
42.7,Hydroelectric,33.425878000000004,-86.337547,AL,14,2018
29.5,Hydroelectric,32.9633,-86.5187,AL,15,2018
50.2,Hydroelectric,32.680394,-85.91144200000001,AL,16,2018
20.0,Hydroelectric,32.806025,-86.44489200000001,AL,17,2018
90.5,Hydroelectric,33.9406,-87.1077,AL,18,2018
40.5,Hydroelectric,32.535436,-85.887614,AL,19,2018
29.2,Hydroelectric,34.172142,-85.75380600000001,AL,20,2018
25.5,Hydroelectric,32.5743,-85.8901,AL,21,2018
272.0,Natural Gas,33.244211,-86.458056,AL,26,2018
952.0,Coal,33.244211,-86.458056,AL,26,2018
21.2,Other,33.244211,-86.458056,AL,26,2018
3.1,Natural Gas,44.0501,-94.4178,MN,30,2018
12.1,Hydroelectric,39.134259,-120.953341,CA,34,2018
33.7,Hydroelectric,32.100881,-87.399767,AL,38,2018
1152.0,Nuclear,34.7042,-87.1189,AL,46,2018
59.5,Natural Gas,34.7439,-87.8486,AL,47,2018
28.8,Hydroelectric,34.421271999999995,-86.39393100000001,AL,48,2018
35.1,Hydroelectric,34.8069,-87.3819,AL,49,2018
720.7,Coal,32.030556,-93.56916700000001,LA,51,2018
1.2,Hydroelectric,31.4033,-86.479469,AL,53,2018
149.0,Natural Gas,37.8833,-84.1017,KY,54,2018
1.6,Hydroelectric,31.361146,-86.518307,AL,55,2018
66.0,Coal,31.488019,-87.910747,AL,56,2018
109.8,Coal,40.854765,-98.34822199999999,NE,59,2018
76.3,Coal,40.580872,-98.312437,NE,60,2018
1.8,Hydroelectric,58.3176,-134.101,AK,62,2018
0.8,Hydroelectric,58.3107,-134.4174,AK,63,2018
1.2,Other,58.3107,-134.4174,AK,63,2018
2.5,Other,58.3536,-134.4953,AK,64,2018
8.5,Hydroelectric,58.3269,-134.4631,AK,65,2018
0.4,Hydroelectric,59.4545,-135.3131,AK,66,2018
0.8,Other,59.4545,-135.3131,AK,66,2018
1.2,Other,59.23593100000001,-135.446228,AK,69,2018
11.3,Hydroelectric,55.615207999999996,-131.356111,AK,70,2018
11.2,Hydroelectric,57.6861,-152.895,AK,71,2018
10.1,Hydroelectric,34.01135,-118.4168,CA,72,2018
48.9,Natural Gas,61.2221,-149.8661,AK,75,2018
2.0,Other,61.2221,-149.8661,AK,75,2018
22.2,Hydroelectric,61.475211,-149.15008999999998,AK,77,2018
23.6,Hydroelectric,58.1415,-133.737,AK,78,2018
5.0,Coal,64.84774300000001,-147.735063,AK,79,2018
1.4,Hydroelectric,55.344641,-131.633425,AK,84,2018
4.5,Other,55.357397,-131.69696000000002,AK,85,2018
257.0,Coal,35.4159,-108.08200000000001,NM,87,2018
2.3,Hydroelectric,41.949,-74.2063,NY,88,2018
3.8,Other,64.50533100000001,-165.429814,AK,90,2018
0.8,Wind,64.50533100000001,-165.429814,AK,90,2018
1.6,Hydroelectric,56.811040000000006,-132.957091,AK,91,2018
2.6,Other,56.811040000000006,-132.957091,AK,91,2018
2.5,Other,60.130922,-149.43501,AK,92,2018
5.3,Hydroelectric,57.0516,-135.2297,AK,93,2018
2.0,Other,56.460976,-132.379439,AK,95,2018
16.0,Natural Gas,61.1861,-151.0356,AK,96,2018
88.9,Natural Gas,47.079722,-122.365,WA,99,2018
1.4,Hydroelectric,33.466477000000005,-111.78106399999999,AZ,100,2018
199.8,Hydroelectric,37.147926,-119.2567,CA,104,2018
348.7,Coal,37.9308,-100.9725,KS,108,2018
1.1,Other,59.042914,-158.468597,AK,109,2018
113.6,Coal,34.9394,-110.3033,AZ,113,2018
26.1,Other,31.364122,-109.5538,AZ,114,2018
113.6,Natural Gas,33.4225,-111.9122,AZ,116,2018
132.0,Natural Gas,33.4417,-112.1583,AZ,117,2018
78.3,Natural Gas,32.5517,-111.3,AZ,118,2018
23.6,Natural Gas,32.7214,-114.7106,AZ,120,2018
25.3,Other,32.7214,-114.7106,AZ,120,2018
85.0,Natural Gas,32.252272999999995,-110.992148,AZ,124,2018
173.3,Natural Gas,32.16,-110.9047,AZ,126,2018
720.0,Coal,34.0825,-99.1753,TX,127,2018
590.9,Coal,33.371506,-80.113235,SC,130,2018
735.9,Coal,29.733056,-81.632778,FL,136,2018
113.6,Natural Gas,33.5561,-112.2153,AZ,141,2018
0.2,Solar,33.5561,-112.2153,AZ,141,2018
3.0,Hydroelectric,33.439375,-111.94605200000001,AZ,143,2018
9.9,Hydroelectric,33.5907,-111.344,AZ,145,2018
34.5,Natural Gas,33.3556,-111.9353,AZ,147,2018
9.2,Hydroelectric,33.5536,-111.4431,AZ,148,2018
36.0,Hydroelectric,33.671104,-111.161786,AZ,149,2018
13.0,Hydroelectric,33.5661,-111.536,AZ,150,2018
71.2,Other,37.62936,-120.93139,CA,151,2018
71.2,Natural Gas,37.62936,-120.93139,CA,151,2018
51.7,Hydroelectric,35.197044,-114.570669,AZ,152,2018
165.0,Hydroelectric,36.936614,-111.48387199999999,AZ,153,2018
2.4,Hydroelectric,36.01551,-114.738006,NV,154,2018
1.5,Hydroelectric,40.493631,-111.312506,UT,159,2018
11.5,Natural Gas,32.0603,-109.8931,AZ,160,2018
204.0,Coal,32.0603,-109.8931,AZ,160,2018
1.1,Hydroelectric,37.611461,-120.594678,CA,161,2018
0.5,Hydroelectric,37.621536,-120.746247,CA,162,2018
540.0,Natural Gas,36.190278,-95.2894,OK,165,2018
594.0,Coal,36.190278,-95.2894,OK,165,2018
28.0,Hydroelectric,34.4425,-93.0262,AR,166,2018
552.5,Natural Gas,34.4341,-92.9049,AR,170,2018
1.6,Other,35.6893,-89.994,AR,172,2018
3.0,Hydroelectric,34.4272,-92.8941,AR,174,2018
1.0,Hydroelectric,40.45193,-121.86215,CA,180,2018
56.0,Hydroelectric,36.421507,-93.847373,AR,182,2018
40.0,Hydroelectric,34.211913,-93.110963,AR,187,2018
48.0,Hydroelectric,35.5207,-91.9953,AR,188,2018
2.0,Other,36.3858,-90.1867,AR,193,2018
8.5,Hydroelectric,34.148427000000005,-93.715168,AR,195,2018
40.2,Hydroelectric,36.2491,-92.2401,AR,196,2018
37.5,Hydroelectric,34.570984,-93.194425,AR,197,2018
40.0,Hydroelectric,36.3635,-92.5763,AR,198,2018
40.2,Hydroelectric,35.2503,-93.1686,AR,199,2018
59.0,Natural Gas,35.462382,-93.804926,AR,201,2018
120.0,Natural Gas,35.260102,-91.363426,AR,202,2018
136.0,Natural Gas,33.5648,-92.7917,AR,203,2018
1138.3,Nuclear,40.1719,-88.8339,IL,204,2018
1267.7,Nuclear,38.239259999999994,-95.68978,KS,210,2018
1.0,Hydroelectric,39.215979,-120.80355,CA,214,2018
1.4,Hydroelectric,38.071944,-120.53944399999999,CA,215,2018
31.0,Hydroelectric,36.909137,-119.08771200000001,CA,217,2018
48.6,Hydroelectric,36.908907,-119.087556,CA,218,2018
117.9,Hydroelectric,40.007445000000004,-121.24943799999998,CA,219,2018
33.0,Hydroelectric,39.91062,-121.327692,CA,220,2018
40.0,Hydroelectric,40.175656,-121.19066299999999,CA,221,2018
23.8,Hydroelectric,40.085476,-121.14824099999998,CA,222,2018
60.3,Hydroelectric,40.085997,-121.149373,CA,223,2018
