Nameplate,Technology,Latitude,Longitude,PLNTCODE,State
45,Hydroelectric,33.458665,-87.356823,2,AL
153.1,Coal,31.0069,-88.0103,3,AL
153.1,Coal,31.0069,-88.0103,3,AL
272,Coal,31.0069,-88.0103,3,AL
403.7,Coal,31.0069,-88.0103,3,AL
788.8,Coal,31.0069,-88.0103,3,AL
170.1,Natural Gas,31.0069,-88.0103,3,AL
191.8,Natural Gas,31.0069,-88.0103,3,AL
170.1,Natural Gas,31.0069,-88.0103,3,AL
170.1,Natural Gas,31.0069,-88.0103,3,AL
191.8,Natural Gas,31.0069,-88.0103,3,AL
75,Hydroelectric,32.583889,-86.283056,4,AL
75,Hydroelectric,32.583889,-86.283056,4,AL
75,Hydroelectric,32.583889,-86.283056,4,AL
69,Coal,34.0128,-85.9708,7,AL
69,Coal,34.0128,-85.9708,7,AL
125,Coal,33.644344,-87.196486,8,AL
125,Coal,33.644344,-87.196486,8,AL
187.5,Coal,33.644344,-87.196486,8,AL
190.4,Coal,33.644344,-87.196486,8,AL
788.8,Coal,33.644344,-87.196486,8,AL
80.5,Natural Gas,31.7569,-106.375,9,TX
299.2,Coal,32.6017,-87.7811,10,AL
269.2,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
80,Natural Gas,32.6017,-87.7811,10,AL
24.3,Hydroelectric,33.7845,-86.0524,11,AL
24.3,Hydroelectric,33.7845,-86.0524,11,AL
24.3,Hydroelectric,33.7845,-86.0524,11,AL
40,Hydroelectric,33.2553,-87.4495,12,AL
25,Hydroelectric,32.6189,-86.2548,13,AL
25,Hydroelectric,32.6189,-86.2548,13,AL
25,Hydroelectric,32.6189,-86.2548,13,AL
25,Hydroelectric,32.6189,-86.2548,13,AL
42.7,Hydroelectric,33.425878,-86.337547,14,AL
42.7,Hydroelectric,33.425878,-86.337547,14,AL
42.7,Hydroelectric,33.425878,-86.337547,14,AL
29.5,Hydroelectric,32.9633,-86.5187,15,AL
29.5,Hydroelectric,32.9633,-86.5187,15,AL
29.5,Hydroelectric,32.9633,-86.5187,15,AL
29.5,Hydroelectric,32.9633,-86.5187,15,AL
29.5,Hydroelectric,32.9633,-86.5187,15,AL
29.5,Hydroelectric,32.9633,-86.5187,15,AL
50.2,Hydroelectric,32.680394,-85.911442,16,AL
50.2,Hydroelectric,32.680394,-85.911442,16,AL
50.2,Hydroelectric,32.680394,-85.911442,16,AL
60,Hydroelectric,32.680394,-85.911442,16,AL
20,Hydroelectric,32.806025,-86.444892,17,AL
50,Hydroelectric,32.806025,-86.444892,17,AL
50,Hydroelectric,32.806025,-86.444892,17,AL
50,Hydroelectric,32.806025,-86.444892,17,AL
78.7,Hydroelectric,33.9406,-87.1077,18,AL
78.7,Hydroelectric,33.9406,-87.1077,18,AL
40.5,Hydroelectric,32.535436,-85.887614,19,AL
40.5,Hydroelectric,32.535436,-85.887614,19,AL
10,Hydroelectric,32.535436,-85.887614,19,AL
29.2,Hydroelectric,34.172142,-85.753806,20,AL
29.2,Hydroelectric,34.172142,-85.753806,20,AL
29.2,Hydroelectric,34.172142,-85.753806,20,AL
25.5,Hydroelectric,32.5743,-85.8901,21,AL
25,Hydroelectric,32.5743,-85.8901,21,AL
272,Coal,33.244211,-86.458056,26,AL
272,Coal,33.244211,-86.458056,26,AL
272,Coal,33.244211,-86.458056,26,AL
952,Coal,33.244211,-86.458056,26,AL
21.2,Other,33.244211,-86.458056,26,AL
244.8,Coal,33.244211,-86.458056,26,AL
3.1,Natural Gas,44.0525,-94.4153,30,MN
2,Natural Gas,44.0525,-94.4153,30,MN
1.1,Natural Gas,44.0525,-94.4153,30,MN
4.3,Natural Gas,44.0525,-94.4153,30,MN
1.3,Natural Gas,44.0525,-94.4153,30,MN
12.1,Hydroelectric,39.134259,-120.953341,34,CA
33.7,Hydroelectric,32.100881,-87.399767,38,AL
33.7,Hydroelectric,32.100881,-87.399767,38,AL
33.7,Hydroelectric,32.100881,-87.399767,38,AL
1152,Nuclear,34.7042,-87.1189,46,AL
