Nameplate,Technology,Latitude,Longitude,State,Plant_ID
53.9,Hydroelectric,33.458665,-87.356823,AL,2
153.1,Natural Gas,31.0069,-88.0103,AL,3
153.1,Natural Gas,31.0069,-88.0103,AL,3
403.7,Coal,31.0069,-88.0103,AL,3
788.8,Coal,31.0069,-88.0103,AL,3
170.1,Natural Gas,31.0069,-88.0103,AL,3
170.1,Natural Gas,31.0069,-88.0103,AL,3
195.2,Natural Gas,31.0069,-88.0103,AL,3
170.1,Natural Gas,31.0069,-88.0103,AL,3
170.1,Natural Gas,31.0069,-88.0103,AL,3
195.2,Natural Gas,31.0069,-88.0103,AL,3
75,Hydroelectric,32.583889,-86.283056,AL,4
75,Hydroelectric,32.583889,-86.283056,AL,4
75,Hydroelectric,32.583889,-86.283056,AL,4
69,Natural Gas,34.0128,-85.9708,AL,7
69,Natural Gas,34.0128,-85.9708,AL,7
788.8,Coal,33.644344,-87.196486,AL,8
187.5,Coal,33.644344,-87.196486,AL,8
190.4,Coal,33.644344,-87.196486,AL,8
86.9,Natural Gas,31.7569,-106.375,TX,9
299.2,Natural Gas,32.6017,-87.7811,AL,10
269.2,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
80,Natural Gas,32.6017,-87.7811,AL,10
24.3,Hydroelectric,33.7845,-86.0524,AL,11
24.3,Hydroelectric,33.7845,-86.0524,AL,11
24.3,Hydroelectric,33.7845,-86.0524,AL,11
46.9,Hydroelectric,33.2553,-87.4495,AL,12
25,Hydroelectric,32.6189,-86.2548,AL,13
25,Hydroelectric,32.6189,-86.2548,AL,13
25,Hydroelectric,32.6189,-86.2548,AL,13
25,Hydroelectric,32.6189,-86.2548,AL,13
42.7,Hydroelectric,33.425878,-86.337547,AL,14
42.7,Hydroelectric,33.425878,-86.337547,AL,14
42.7,Hydroelectric,33.425878,-86.337547,AL,14
29.5,Hydroelectric,32.9633,-86.5187,AL,15
29.5,Hydroelectric,32.9633,-86.5187,AL,15
29.5,Hydroelectric,32.9633,-86.5187,AL,15
29.5,Hydroelectric,32.9633,-86.5187,AL,15
29.5,Hydroelectric,32.9633,-86.5187,AL,15
29.5,Hydroelectric,32.9633,-86.5187,AL,15
50.2,Hydroelectric,32.680394,-85.911442,AL,16
50.2,Hydroelectric,32.680394,-85.911442,AL,16
50.2,Hydroelectric,32.680394,-85.911442,AL,16
60,Hydroelectric,32.680394,-85.911442,AL,16
20,Hydroelectric,32.806025,-86.444892,AL,17
50,Hydroelectric,32.806025,-86.444892,AL,17
50,Hydroelectric,32.806025,-86.444892,AL,17
50,Hydroelectric,32.806025,-86.444892,AL,17
90.5,Hydroelectric,33.9406,-87.1077,AL,18
90.5,Hydroelectric,33.9406,-87.1077,AL,18
40.5,Hydroelectric,32.535436,-85.887614,AL,19
40.5,Hydroelectric,32.535436,-85.887614,AL,19
10,Hydroelectric,32.535436,-85.887614,AL,19
29.2,Hydroelectric,34.172142,-85.753806,AL,20
29.2,Hydroelectric,34.172142,-85.753806,AL,20
29.2,Hydroelectric,34.172142,-85.753806,AL,20
25.5,Hydroelectric,32.5743,-85.8901,AL,21
25,Hydroelectric,32.5743,-85.8901,AL,21
272,Natural Gas,33.244211,-86.458056,AL,26
272,Natural Gas,33.244211,-86.458056,AL,26
272,Natural Gas,33.244211,-86.458056,AL,26
952,Coal,33.244211,-86.458056,AL,26
21.2,Other,33.244211,-86.458056,AL,26
244.8,Natural Gas,33.244211,-86.458056,AL,26
3.1,Natural Gas,44.0501,-94.4178,MN,30
2,Natural Gas,44.0501,-94.4178,MN,30
1.1,Natural Gas,44.0501,-94.4178,MN,30
4.3,Natural Gas,44.0501,-94.4178,MN,30
1.3,Natural Gas,44.0501,-94.4178,MN,30
